year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2011,3,25,14,15.0,-14.0,15.0,1026.0,NW,9.83,0.0,0.0
2012,9,30,8,12.0,8.0,15.0,1020.0,NW,14.31,0.0,0.0
2011,2,15,2,154.0,-14.0,-10.0,1029.0,NE,1.79,0.0,0.0
2014,10,12,8,4.0,-2.0,15.0,1032.0,NW,20.12,0.0,0.0
2012,8,10,4,72.0,23.0,23.0,1007.0,cv,1.78,0.0,0.0
2011,4,18,9,3.0,-11.0,15.0,1018.0,NW,22.8,0.0,0.0
2013,2,3,15,223.0,-2.0,-2.0,1017.0,NE,1.79,10.0,0.0
2012,8,4,0,28.0,22.0,24.0,1007.0,SE,35.32,0.0,0.0
2010,8,10,20,160.0,21.0,27.0,1006.0,SE,26.38,0.0,0.0
2013,2,25,15,143.0,-2.0,-1.0,1026.0,NW,3.13,0.0,0.0
2010,8,21,18,12.0,19.0,21.0,1011.0,NW,4.92,0.0,14.0
2013,6,11,10,70.0,16.0,22.0,1009.0,SE,3.13,0.0,0.0
2010,11,25,15,54.0,-14.0,7.0,1022.0,SE,12.07,0.0,0.0
2010,11,5,14,58.0,0.0,21.0,1018.0,SE,4.92,0.0,0.0
2012,3,6,21,42.0,-15.0,7.0,1018.0,NW,177.93,0.0,0.0
2010,5,3,18,142.0,6.0,22.0,1006.0,NE,1.79,0.0,0.0
2013,11,21,15,43.0,-12.0,12.0,1024.0,cv,0.89,0.0,0.0
2011,10,19,2,154.0,8.0,9.0,1023.0,cv,1.34,0.0,0.0
2011,3,21,22,23.0,-24.0,4.0,1031.0,NW,142.59,0.0,0.0
2014,12,9,18,352.0,-6.0,-1.0,1031.0,NW,1.79,0.0,0.0
2011,6,6,19,114.0,18.0,26.0,998.0,cv,0.89,0.0,0.0
2014,3,29,18,26.0,-1.0,20.0,1011.0,SE,1.79,0.0,0.0
2010,12,19,12,40.0,-12.0,9.0,1016.0,NW,50.51,0.0,0.0
2012,1,11,1,14.0,-18.0,-7.0,1041.0,NE,10.28,0.0,0.0
2012,11,25,13,20.0,-14.0,7.0,1019.0,NW,27.72,0.0,0.0
2012,1,2,14,12.0,-17.0,2.0,1026.0,NW,17.88,0.0,0.0
2011,11,2,17,55.0,3.0,13.0,1027.0,NW,3.58,0.0,0.0
2012,9,6,7,72.0,14.0,16.0,1018.0,cv,0.45,0.0,0.0
2013,7,4,9,21.0,19.0,29.0,994.0,NW,25.03,0.0,0.0
2014,4,28,9,106.0,8.0,20.0,1021.0,NW,15.19,0.0,0.0
