price,review_time,rating,category,verified,brand,title,description,review_text,summary
7.79,2702.0,5.0,Arts & Photography > Music,True,Visit Amazon's Martha Mier Page,"Romantic Impressions, Bk 1: 9 Solos in Romantic Style for Early Intermediate to Intermediate Pianists","Warm, lyrical, cantabile melodies and rich harmonic structures are found in this expressive series.",Just what we wanted. thank you!,Five Stars
8.05,2669.0,5.0,Science Fiction & Fantasy > Science Fiction,True,Robert A. Heinlein,Time for the Stars,"For a telepathic twin on an exploratory space voyage only a few years pass, yet, when he returns to Earth his brother is ready to celebrate his ninetieth birthday.","A nice story that grabs your interest and makes it hard to put down.
Could have used more character development on board the ship.",Another fine Heinlein story. .
9.89,2123.0,1.0,Christian Books & Bibles > Ministry & Evangelism,True,Visit Amazon's Fred B. Craddock Page,Preaching,"Fred B. Craddock, Brandy Distinguished Professor of Preaching and New Testament, Emeritus, Candler School of Theology, Emory University, Atlanta, Georgia (Christian Church {Disciples of Christ}).","This book was not very helpful to me,  I was looking for a book that would help me in Sermon preparation.  This book was not what I was looking for.",Did Not Like.
19.27,2791.0,4.0,Children's Books > Growing Up & Facts of Life,True,Visit Amazon's Jenna Black Page,Sirensong,"""Blacks talent brings the faerie realm to life with brilliant detail. As Dana becomes further entangled in the web of Faerie politics, her latest adventure remains fast paced and full of suspense."" - RT Book Reviews","Good storyline, strong characters",Four Stars
8.78,2343.0,5.0,Literature & Fiction > Contemporary,True,Visit Amazon's Jackie Collins Page,Lethal Seduction,<i>Kirkus Reviews</i> Cool as a subzero shot of designer vodka....,Avery good book.,Five Stars
5.3,2587.0,5.0,Literature & Fiction > Women's Fiction,True,Howard Hughes,World After: Penryn and the End of Days Book Two,World After,"This is a great series so far...I did not think I would find another dystopian novel about angels that I like as much as the premonition series, but this comes very close.  This series is a disturbing and dark look at the aftermath of the apocalypse, but it sucks you in...I can't put it down and cannot wait to see what happens next!",great series!
15.51,2790.0,5.0,Religion & Spirituality > New Age & Spirituality,True,Visit Amazon's Terry Jamison Page,Psychic Intelligence: Tune In and Discover the Power of Your Intuition,"""...a good read-intelligent and yet easy to understand."" -Sylvia C. Brown",i would highly recommend this to the veteran psychic or anyone who is just curious about our natural abilities! Well written and not boring at all!!! Very helpful and useful info!!!!,Great book!!!
15.9,2399.0,5.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Stephen Frey Page,Arctic Fire (Red Cell Trilogy),"Stephen W. Frey is a former investment banker and private equity specialist. He is best-selling author of sixteen novels, including The Takeover, The Chairman, and Hell s Gate. An avid fly-fisherman and fan of college lacrosse, Frey lives in Chestertown, Maryland.",Very interesting series. I highly recommend this series. I enjoyed them immensely,I highly recommend this series
14.75,2882.0,5.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's Nigel Tranter Page,The Wallace (Coronet Books),"One of Scotland`s best-loved authors, Nigel Tranter wrote over ninety novels on Scottish history. He died at the age of ninety on 9 January 2000.",was very satisfied with the seller and the product.,Five Stars
11.99,2329.0,5.0,Romance > Contemporary,True,Visit Amazon's Justine Elvira Page,Changing His Game,<b>10 Books to Read Before Seeing Magic Mike XXL- Bookbub.com</b>,I really enjoyed this book. I was great to learn about Jared and Autumn. This was a great read it was so sensual and to watch love bloom .,great Read!
