Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,1.0,30.5,14.0,327.0,0.013333333,0.026666667,0.0,0.0,Nov,1,1,4,3,Returning_Visitor,False,False
4.0,111.0,0.0,0.0,4.0,54.0,0.0,0.028571429,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,39.0,0.0,0.022222223,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,1,1,8,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,90.8,0.0,0.025,0.0,0.0,Oct,1,1,3,2,Returning_Visitor,True,False
3.0,41.5,0.0,0.0,5.0,68.75,0.0,0.0375,0.0,0.0,Nov,1,2,1,8,New_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,231.5,0.022222223,0.044444446,0.0,0.0,May,2,2,8,3,Returning_Visitor,False,False
0.0,0.0,1.0,65.5,49.0,574.8333,0.0,0.012,0.0,0.0,Mar,2,2,2,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,1,8,8,11,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.1,0.0,0.0,May,3,2,1,3,New_Visitor,False,False
1.0,41.333332,0.0,0.0,44.0,3227.5,0.0,0.004651163,28.531534,0.6,May,2,2,4,13,Returning_Visitor,False,True
5.0,69.03333,0.0,0.0,24.0,658.8467,0.0,0.013793103,42.98453,0.0,Oct,2,6,3,2,Returning_Visitor,False,False
3.0,35.0,0.0,0.0,16.0,314.0,0.0,0.05263158,0.0,0.0,Mar,2,5,7,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,129.5,0.06153846,0.092307694,0.0,0.0,Mar,1,8,1,1,Returning_Visitor,False,False
1.0,12.066667,0.0,0.0,45.0,591.26404,0.0,0.013028631,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,23.0,1166.3334,0.0,0.02826087,22.29939,0.0,May,2,2,6,2,Returning_Visitor,False,False
5.0,133.0,0.0,0.0,16.0,324.5,0.0,0.031481482,0.0,0.0,May,3,2,8,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,1245.0,0.0,0.1,0.0,0.0,May,2,2,3,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,18.0,286.0,0.011111111,0.06111111,0.0,0.8,May,2,2,9,3,Returning_Visitor,False,False
2.0,64.5,0.0,0.0,24.0,1151.137,0.0,0.0186,15.276558,0.0,Dec,2,2,3,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,40.0,1085.3334,0.0075,0.045,0.0,0.0,Dec,2,2,6,1,Returning_Visitor,False,False
3.0,90.5,0.0,0.0,15.0,369.5,0.0,0.025,0.0,0.0,Nov,3,2,2,2,New_Visitor,True,False
6.0,205.0,0.0,0.0,20.0,221.78,0.0,0.001515152,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
4.0,316.83334,1.0,13.0,73.0,3085.007,0.008333333,0.02475118,2.323162,0.2,May,3,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,389.16666,0.0,0.02142857,0.0,0.0,Nov,3,2,3,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,43.0,778.64374,0.010232558,0.023197087,0.0,0.0,Jul,4,1,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,1,1,3,3,Returning_Visitor,False,False
1.0,9.0,0.0,0.0,10.0,219.5,0.0,0.027272727,0.0,0.0,Dec,2,2,1,11,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,21.0,1088.8667,0.0,0.010526316,16.158558,0.0,Nov,3,2,1,2,Returning_Visitor,True,True
4.0,70.5,0.0,0.0,3.0,51.3,0.0,0.00952381,0.0,0.0,Sep,3,3,4,5,New_Visitor,False,False
1.0,18.0,2.0,13.0,20.0,1287.2738,0.015873017,0.03809524,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,False,False
4.0,113.833336,0.0,0.0,3.0,23.666666,0.0,0.05625,0.0,0.0,Dec,2,2,6,2,Returning_Visitor,True,False
11.0,320.0,0.0,0.0,36.0,776.1667,0.0,0.014880952,0.0,0.0,Dec,3,2,1,13,Returning_Visitor,False,False
4.0,111.0,0.0,0.0,9.0,155.0,0.0,0.009090909,0.0,0.0,Dec,1,1,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,44.0,1341.7167,0.008888889,0.046666667,0.0,0.0,June,2,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,55.0,946.36365,0.010909091,0.025454545,0.0,0.0,Nov,2,2,6,1,Returning_Visitor,True,False
6.0,86.2,0.0,0.0,49.0,3003.419,0.010526316,0.015711501,4.376916,0.4,May,1,1,4,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,159.2,0.05,0.06666667,0.0,0.0,June,3,2,5,13,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,46.0,2425.0833,0.010869565,0.027681159,0.0,0.6,May,1,1,3,2,Returning_Visitor,False,False
1.0,14.0,0.0,0.0,14.0,988.0625,0.014285714,0.028571429,68.84906,0.0,Dec,2,5,9,1,Returning_Visitor,False,True
7.0,356.675,0.0,0.0,72.0,1636.2583,0.005333333,0.007733333,0.0,0.0,Oct,2,2,4,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,426.5,0.0,0.02,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Jul,3,2,1,13,Returning_Visitor,False,False
2.0,48.5,0.0,0.0,77.0,1069.9738,0.002531646,0.012466437,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,64.0,2018.7621,0.009895833,0.027936058,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,16.0,576.3,0.016666668,0.011458333,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,72.0,0.0,0.05,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
1.0,11.0,3.0,27.5,154.0,3395.7295,0.007660455,0.012253894,19.134153,0.8,May,3,2,4,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,337.5,0.028571429,0.023809524,0.0,0.4,Feb,4,1,3,3,Returning_Visitor,False,False
1.0,92.6,0.0,0.0,30.0,1126.3928,0.0,0.006666667,67.183784,0.0,Nov,2,2,1,6,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,11.0,350.375,0.018181818,0.011688312,0.0,0.0,Nov,3,2,3,2,New_Visitor,False,False
6.0,342.1,0.0,0.0,82.0,895.1111,0.002325581,0.004844961,0.0,0.0,Sep,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,164.0,0.04,0.08,0.0,0.0,May,2,2,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,23.0,348.38333,0.008695652,0.004347826,0.0,0.0,Nov,1,1,3,2,New_Visitor,False,False
1.0,34.0,0.0,0.0,12.0,2052.8333,0.016666668,0.016666668,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.0,0.0,May,3,2,5,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,324.0,0.0,0.003030303,0.0,0.0,May,2,2,2,2,New_Visitor,True,False
3.0,155.7,0.0,0.0,18.0,595.0,0.0,0.010526316,0.0,0.0,Nov,1,1,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.8,May,3,2,3,3,Returning_Visitor,False,False
6.0,408.2,0.0,0.0,33.0,878.6238,0.0,0.02045045,19.365496,0.0,Mar,2,2,1,2,Returning_Visitor,False,True
3.0,21.5,2.0,70.875,28.0,1338.225,0.007070707,0.032525253,0.0,0.0,Dec,1,1,2,3,Returning_Visitor,False,False
4.0,85.6,0.0,0.0,1.0,5.0,0.0,0.03333333,0.0,0.0,Sep,2,4,1,5,New_Visitor,False,True
9.0,124.0,1.0,61.5,25.0,432.16666,0.0,0.007692308,0.0,0.0,Dec,2,2,8,2,New_Visitor,False,False
9.0,468.36667,1.0,88.0,114.0,3772.4055,0.0,0.001680672,42.419144,0.0,May,2,2,2,14,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,5.0,1439.5,0.0,0.08,0.0,0.0,May,2,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,644.0,0.007692308,0.051923078,0.0,0.0,Mar,3,2,2,3,Returning_Visitor,False,False
11.0,347.79166,0.0,0.0,91.0,2434.1448,0.002020202,0.019021966,10.519018,0.0,Dec,2,2,4,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,472.43332,0.0,0.004395604,0.0,0.0,Jul,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,125.75,0.06666667,0.14,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,38.0,1517.4167,0.0,0.004122807,0.0,0.0,Nov,4,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,214.33333,0.0,0.05,0.0,0.0,Nov,1,1,9,3,Returning_Visitor,False,False
8.0,287.7,0.0,0.0,20.0,531.56,0.0,0.012121212,0.0,0.0,Oct,2,2,9,20,New_Visitor,False,False
1.0,3.0,0.0,0.0,11.0,1046.6666,0.005555556,0.025,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,True,False
2.0,39.4,0.0,0.0,62.0,2021.7477,0.003076923,0.015641026,0.0,0.0,Oct,2,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,90.0,0.0,0.06666667,0.0,0.0,Mar,1,2,5,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,491.58334,0.0,0.008333333,45.96751,0.0,Dec,3,2,4,2,New_Visitor,True,True
4.0,56.5,0.0,0.0,8.0,202.16667,0.0,0.01,0.0,0.0,Mar,3,2,1,8,New_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,450.0,0.0,0.014,0.0,0.8,May,3,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,810.0,0.0,0.016666668,0.0,0.0,Mar,2,2,6,10,Returning_Visitor,False,False
2.0,671.0,0.0,0.0,15.0,1106.0,0.0,0.04,0.0,0.0,Dec,2,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,846.25,0.0,0.018181818,40.401447,0.0,Dec,2,6,1,6,New_Visitor,False,True
0.0,0.0,0.0,0.0,231.0,11246.134,0.001746725,0.010029112,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,True,False
2.0,242.5,0.0,0.0,59.0,5004.229,0.006779661,0.034387946,0.0,0.0,Dec,2,5,3,2,Returning_Visitor,True,False
9.0,175.93452,4.0,54.5,229.0,6606.7837,0.00373444,0.015020196,8.896837,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,4.0,184.33333,0.1,0.0875,0.0,0.0,Dec,3,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,47.0,0.02,0.06,0.0,0.0,May,2,2,3,1,Returning_Visitor,False,False
4.0,365.03333,0.0,0.0,9.0,461.73334,0.026666667,0.032991454,33.60744,0.0,Aug,2,2,1,2,Returning_Visitor,False,False
1.0,9.0,0.0,0.0,12.0,764.75,0.0,0.023076924,9.641077,0.4,May,2,2,8,2,New_Visitor,False,True
