x1,x2,operation_x1,operation_x2,operation_between,latex_expression
3.7,8.8,none,sqrt,sub,3.7 - \sqrt{8.8}
3.4,6.6,cos,cos,add,\cos(3.4) + \cos(6.6)
2.0,7.1,sqrt,cos,add,\sqrt{2.0} + \cos(7.1)
4.5,6.8,exp,none,add,\exp(4.5) + 6.8
2.6,5.9,log,none,div,\frac{\log(2.6)}{5.9}
4.5,6.2,log,log,add,\log(4.5) + \log(6.2)
3.8,7.1,none,tan,add,3.8 + \tan(7.1)
1.8,4.0,square,cos,mul,(1.8)^2 \times \cos(4.0)
3.6,5.9,log,square,div,\frac{\log(3.6)}{(5.9)^2}
3.2,4.1,sqrt,none,sub,\sqrt{3.2} - 4.1
1.8,6.4,cos,square,mul,\cos(1.8) \times (6.4)^2
3.4,3.8,log,cube,mul,\log(3.4) \times (3.8)^3
4.4,8.1,log,tan,sub,\log(4.4) - \tan(8.1)
1.4,6.6,log,log,add,\log(1.4) + \log(6.6)
1.5,5.9,tan,none,mul,\tan(1.5) \times 5.9
1.0,3.2,none,cos,add,1.0 + \cos(3.2)
5.9,5.5,none,tan,mul,5.9 \times \tan(5.5)
4.5,5.9,square,none,add,(4.5)^2 + 5.9
4.8,4.7,none,cos,sub,4.8 - \cos(4.7)
0.9,6.3,exp,cos,sub,\exp(0.9) - \cos(6.3)
6.0,9.0,cube,sqrt,sub,(6.0)^3 - \sqrt{9.0}
3.9,6.0,cube,log,add,(3.9)^3 + \log(6.0)
1.3,6.7,none,square,add,1.3 + (6.7)^2
3.4,5.6,sqrt,cos,add,\sqrt{3.4} + \cos(5.6)
4.8,6.1,none,exp,add,4.8 + \exp(6.1)
3.0,3.2,tan,cube,sub,\tan(3.0) - (3.2)^3
2.4,9.4,tan,log,sub,\tan(2.4) - \log(9.4)
4.1,7.3,sqrt,cube,mul,\sqrt{4.1} \times (7.3)^3
4.3,7.6,cube,log,sub,(4.3)^3 - \log(7.6)
5.4,7.8,log,sqrt,mul,\log(5.4) \times \sqrt{7.8}
4.5,3.8,square,cos,sub,(4.5)^2 - \cos(3.8)
0.7,8.5,sin,sin,add,\sin(0.7) + \sin(8.5)
2.3,8.1,sqrt,cube,add,\sqrt{2.3} + (8.1)^3
1.4,6.4,sqrt,tan,add,\sqrt{1.4} + \tan(6.4)
3.7,7.7,none,none,sub,3.7 - 7.7
5.7,4.4,cube,none,add,(5.7)^3 + 4.4
3.2,3.5,cos,cos,add,\cos(3.2) + \cos(3.5)
0.4,3.8,none,sqrt,add,0.4 + \sqrt{3.8}
0.5,8.6,square,sqrt,add,(0.5)^2 + \sqrt{8.6}
2.5,9.9,cos,tan,div,\frac{\cos(2.5)}{\tan(9.9)}
1.4,8.8,log,sin,add,\log(1.4) + \sin(8.8)
3.8,5.1,log,none,mul,\log(3.8) \times 5.1
0.3,4.5,square,sqrt,add,(0.3)^2 + \sqrt{4.5}
3.6,7.3,log,sqrt,sub,\log(3.6) - \sqrt{7.3}
1.9,4.8,cos,cos,add,\cos(1.9) + \cos(4.8)
5.9,5.5,cube,cube,add,(5.9)^3 + (5.5)^3
5.6,4.4,cube,none,mul,(5.6)^3 \times 4.4
4.1,4.7,none,none,add,4.1 + 4.7
4.7,4.2,square,none,mul,(4.7)^2 \times 4.2
3.0,6.6,cube,exp,add,(3.0)^3 + \exp(6.6)
1.5,5.0,log,none,mul,\log(1.5) \times 5.0
2.2,8.8,log,cos,add,\log(2.2) + \cos(8.8)
0.1,6.9,tan,cube,sub,\tan(0.1) - (6.9)^3
3.6,5.6,square,exp,mul,(3.6)^2 \times \exp(5.6)
0.8,6.8,square,sin,sub,(0.8)^2 - \sin(6.8)
1.7,8.9,none,sqrt,sub,1.7 - \sqrt{8.9}
5.5,7.7,log,cos,mul,\log(5.5) \times \cos(7.7)
1.5,9.3,none,cube,div,\frac{1.5}{(9.3)^3}
3.9,4.6,log,exp,mul,\log(3.9) \times \exp(4.6)
2.3,6.5,log,none,add,\log(2.3) + 6.5
3.0,5.2,tan,exp,sub,\tan(3.0) - \exp(5.2)
4.9,3.4,sin,cos,sub,\sin(4.9) - \cos(3.4)
0.3,6.9,sin,cube,div,\frac{\sin(0.3)}{(6.9)^3}
3.2,5.0,sqrt,none,add,\sqrt{3.2} + 5.0
4.5,6.6,sqrt,tan,add,\sqrt{4.5} + \tan(6.6)
1.8,5.1,log,exp,div,\frac{\log(1.8)}{\exp(5.1)}
5.1,6.2,exp,cos,add,\exp(5.1) + \cos(6.2)
4.9,7.9,square,log,add,(4.9)^2 + \log(7.9)
1.2,5.1,log,sin,add,\log(1.2) + \sin(5.1)
1.5,6.8,cube,none,add,(1.5)^3 + 6.8
1.0,7.0,none,cos,mul,1.0 \times \cos(7.0)
2.5,3.8,sqrt,sin,mul,\sqrt{2.5} \times \sin(3.8)
2.0,6.9,exp,sin,sub,\exp(2.0) - \sin(6.9)
1.9,5.3,cos,square,div,\frac{\cos(1.9)}{(5.3)^2}
3.1,4.7,sqrt,cos,add,\sqrt{3.1} + \cos(4.7)
2.3,4.2,tan,sin,mul,\tan(2.3) \times \sin(4.2)
3.8,9.0,log,log,div,\frac{\log(3.8)}{\log(9.0)}
3.6,8.6,none,square,div,\frac{3.6}{(8.6)^2}
4.6,7.2,exp,none,add,\exp(4.6) + 7.2
3.8,5.3,sin,sqrt,sub,\sin(3.8) - \sqrt{5.3}
0.1,3.7,square,tan,mul,(0.1)^2 \times \tan(3.7)
3.1,6.1,log,none,sub,\log(3.1) - 6.1
1.2,4.9,sqrt,cos,add,\sqrt{1.2} + \cos(4.9)
5.1,6.4,square,sin,add,(5.1)^2 + \sin(6.4)
0.9,7.3,none,square,add,0.9 + (7.3)^2
0.5,4.9,tan,sin,add,\tan(0.5) + \sin(4.9)
2.0,7.7,square,cos,sub,(2.0)^2 - \cos(7.7)
0.7,9.9,sin,sqrt,sub,\sin(0.7) - \sqrt{9.9}
2.7,7.1,sqrt,sqrt,mul,\sqrt{2.7} \times \sqrt{7.1}
2.5,5.4,sin,square,add,\sin(2.5) + (5.4)^2
1.7,6.5,sqrt,log,div,\frac{\sqrt{1.7}}{\log(6.5)}
4.1,8.2,log,sqrt,mul,\log(4.1) \times \sqrt{8.2}
2.7,9.1,square,square,mul,(2.7)^2 \times (9.1)^2
1.7,9.8,square,log,mul,(1.7)^2 \times \log(9.8)
1.5,3.9,log,log,sub,\log(1.5) - \log(3.9)
1.1,6.3,log,cube,add,\log(1.1) + (6.3)^3
2.6,7.5,cube,exp,add,(2.6)^3 + \exp(7.5)
1.8,7.9,none,sin,add,1.8 + \sin(7.9)
3.6,5.0,tan,sin,add,\tan(3.6) + \sin(5.0)
2.6,5.3,none,log,div,\frac{2.6}{\log(5.3)}
2.4,6.5,sin,none,add,\sin(2.4) + 6.5
5.5,6.1,square,square,sub,(5.5)^2 - (6.1)^2
3.5,8.0,none,exp,mul,3.5 \times \exp(8.0)
1.5,5.2,sqrt,log,mul,\sqrt{1.5} \times \log(5.2)
1.2,4.8,sin,none,mul,\sin(1.2) \times 4.8
4.2,7.8,sin,cos,mul,\sin(4.2) \times \cos(7.8)
0.7,7.8,cos,none,sub,\cos(0.7) - 7.8
3.4,3.0,sin,none,mul,\sin(3.4) \times 3.0
0.7,5.6,none,sqrt,add,0.7 + \sqrt{5.6}
3.9,6.0,cube,sin,sub,(3.9)^3 - \sin(6.0)
3.0,6.9,none,cos,add,3.0 + \cos(6.9)
0.3,7.7,tan,sqrt,add,\tan(0.3) + \sqrt{7.7}
2.1,3.1,log,sin,div,\frac{\log(2.1)}{\sin(3.1)}
0.9,8.2,cos,sin,sub,\cos(0.9) - \sin(8.2)
4.8,7.2,log,sin,sub,\log(4.8) - \sin(7.2)
2.3,5.3,none,sqrt,div,\frac{2.3}{\sqrt{5.3}}
2.8,8.1,none,log,sub,2.8 - \log(8.1)
4.4,4.9,square,none,add,(4.4)^2 + 4.9
5.2,7.3,log,square,mul,\log(5.2) \times (7.3)^2
4.3,8.3,sqrt,sqrt,mul,\sqrt{4.3} \times \sqrt{8.3}
4.4,8.1,tan,cube,add,\tan(4.4) + (8.1)^3
4.8,3.3,log,none,div,\frac{\log(4.8)}{3.3}
1.9,8.4,square,log,add,(1.9)^2 + \log(8.4)
3.3,6.4,cos,sqrt,mul,\cos(3.3) \times \sqrt{6.4}
4.6,3.3,sin,square,mul,\sin(4.6) \times (3.3)^2
2.1,6.2,square,cos,add,(2.1)^2 + \cos(6.2)
4.9,4.5,cos,sin,add,\cos(4.9) + \sin(4.5)
3.4,4.1,sqrt,square,mul,\sqrt{3.4} \times (4.1)^2
2.7,4.8,cos,cos,mul,\cos(2.7) \times \cos(4.8)
3.5,4.7,none,cos,mul,3.5 \times \cos(4.7)
3.9,7.1,none,log,div,\frac{3.9}{\log(7.1)}
4.0,7.2,sin,square,mul,\sin(4.0) \times (7.2)^2
2.1,4.9,cos,none,div,\frac{\cos(2.1)}{4.9}
3.4,5.2,none,none,add,3.4 + 5.2
0.3,3.0,log,none,div,\frac{\log(0.3)}{3.0}
1.9,7.0,cos,tan,div,\frac{\cos(1.9)}{\tan(7.0)}
3.8,9.2,log,exp,mul,\log(3.8) \times \exp(9.2)
2.6,6.2,sin,sin,add,\sin(2.6) + \sin(6.2)
1.6,7.0,none,log,add,1.6 + \log(7.0)
5.2,5.4,log,sin,mul,\log(5.2) \times \sin(5.4)
2.3,6.8,exp,sin,add,\exp(2.3) + \sin(6.8)
0.6,3.3,log,none,add,\log(0.6) + 3.3
4.5,6.1,square,sin,mul,(4.5)^2 \times \sin(6.1)
4.8,5.2,none,log,mul,4.8 \times \log(5.2)
4.9,5.3,cos,square,div,\frac{\cos(4.9)}{(5.3)^2}
4.5,9.7,cos,sin,mul,\cos(4.5) \times \sin(9.7)
1.5,5.4,cos,none,div,\frac{\cos(1.5)}{5.4}
4.9,8.3,none,sin,mul,4.9 \times \sin(8.3)
2.4,7.9,log,cos,div,\frac{\log(2.4)}{\cos(7.9)}
1.8,8.6,cube,square,add,(1.8)^3 + (8.6)^2
0.6,9.3,none,none,div,\frac{0.6}{9.3}
4.3,4.1,cube,none,mul,(4.3)^3 \times 4.1
2.0,8.0,sin,none,sub,\sin(2.0) - 8.0
0.3,5.1,cos,sqrt,add,\cos(0.3) + \sqrt{5.1}
5.3,8.3,cos,square,add,\cos(5.3) + (8.3)^2
4.3,7.5,none,sin,add,4.3 + \sin(7.5)
4.8,8.0,square,sin,div,\frac{(4.8)^2}{\sin(8.0)}
3.3,7.0,square,exp,mul,(3.3)^2 \times \exp(7.0)
0.1,9.2,square,cos,add,(0.1)^2 + \cos(9.2)
0.1,5.6,sin,cos,sub,\sin(0.1) - \cos(5.6)
5.7,9.1,none,sin,add,5.7 + \sin(9.1)
2.4,9.2,log,log,mul,\log(2.4) \times \log(9.2)
3.4,7.1,log,cos,add,\log(3.4) + \cos(7.1)
3.7,5.7,none,sqrt,add,3.7 + \sqrt{5.7}
0.9,7.8,cube,sin,sub,(0.9)^3 - \sin(7.8)
3.2,7.0,tan,none,div,\frac{\tan(3.2)}{7.0}
5.0,3.0,exp,sqrt,add,\exp(5.0) + \sqrt{3.0}
2.9,6.4,tan,tan,sub,\tan(2.9) - \tan(6.4)
2.3,8.1,sin,sin,add,\sin(2.3) + \sin(8.1)
4.1,8.7,none,none,sub,4.1 - 8.7
3.5,3.8,tan,none,mul,\tan(3.5) \times 3.8
0.6,3.1,log,none,add,\log(0.6) + 3.1
0.2,9.4,log,cos,add,\log(0.2) + \cos(9.4)
3.7,8.8,tan,log,mul,\tan(3.7) \times \log(8.8)
2.9,7.2,log,sqrt,add,\log(2.9) + \sqrt{7.2}
4.3,5.4,square,tan,div,\frac{(4.3)^2}{\tan(5.4)}
1.9,9.4,log,none,div,\frac{\log(1.9)}{9.4}
1.4,4.9,exp,cos,div,\frac{\exp(1.4)}{\cos(4.9)}
1.3,7.2,sqrt,log,mul,\sqrt{1.3} \times \log(7.2)
4.4,3.2,none,sin,add,4.4 + \sin(3.2)
2.1,7.5,cos,cos,add,\cos(2.1) + \cos(7.5)
4.8,7.2,sqrt,tan,add,\sqrt{4.8} + \tan(7.2)
5.5,5.0,square,cos,add,(5.5)^2 + \cos(5.0)
2.9,4.6,sqrt,sqrt,div,\frac{\sqrt{2.9}}{\sqrt{4.6}}
2.5,4.9,tan,none,add,\tan(2.5) + 4.9
2.3,7.3,exp,exp,sub,\exp(2.3) - \exp(7.3)
1.2,8.8,sin,none,mul,\sin(1.2) \times 8.8
5.7,7.4,square,sin,div,\frac{(5.7)^2}{\sin(7.4)}
2.0,7.1,none,exp,mul,2.0 \times \exp(7.1)
3.4,7.0,sqrt,tan,sub,\sqrt{3.4} - \tan(7.0)
5.2,5.1,cos,square,mul,\cos(5.2) \times (5.1)^2
4.2,5.5,exp,cos,add,\exp(4.2) + \cos(5.5)
1.6,4.1,cos,sqrt,div,\frac{\cos(1.6)}{\sqrt{4.1}}
3.3,5.6,sin,exp,add,\sin(3.3) + \exp(5.6)
2.9,7.0,cos,sqrt,mul,\cos(2.9) \times \sqrt{7.0}
1.9,8.2,none,cos,add,1.9 + \cos(8.2)
5.4,6.0,cube,log,mul,(5.4)^3 \times \log(6.0)
3.6,6.8,none,sqrt,add,3.6 + \sqrt{6.8}
3.8,6.4,log,square,sub,\log(3.8) - (6.4)^2
3.4,8.1,none,log,add,3.4 + \log(8.1)
2.9,4.6,log,sin,add,\log(2.9) + \sin(4.6)
6.0,5.5,cos,none,add,\cos(6.0) + 5.5
2.3,6.1,log,cos,add,\log(2.3) + \cos(6.1)
1.1,9.5,square,square,mul,(1.1)^2 \times (9.5)^2
2.7,6.5,sqrt,sin,mul,\sqrt{2.7} \times \sin(6.5)
3.3,5.5,sin,log,div,\frac{\sin(3.3)}{\log(5.5)}
5.8,8.5,none,tan,sub,5.8 - \tan(8.5)
5.1,7.2,log,none,div,\frac{\log(5.1)}{7.2}
1.9,6.1,tan,none,add,\tan(1.9) + 6.1
0.1,5.8,none,sqrt,mul,0.1 \times \sqrt{5.8}
4.2,9.0,square,sqrt,mul,(4.2)^2 \times \sqrt{9.0}
1.4,5.7,none,square,mul,1.4 \times (5.7)^2
1.5,6.1,sqrt,tan,div,\frac{\sqrt{1.5}}{\tan(6.1)}
