days_since_first_submit,paper_year,title_word_count,abstract_word_count,Category,Title,arXiv_Code,Abstract
617.0,2019.0,2,50,13,Bubble optics,arXiv:1909.04401,"Starting from a peculiar image observed below a bubble floating at a water-air interface, the article analyzes several optical properties of these special types of refracting objects (coined \textit{bubble axicons}). Using mainly geometrical optics, their relation to common axicons, the shadow sausage effect and elementary optical catastrophes (caustics) are discussed."
904.0,2020.0,5,91,4,Frictionless motion of lattice defects,arXiv:2006.12849,"Energy dissipation by fast crystalline defects takes place mainly through the resonant interaction of their cores with periodic lattice. We show that the resultant effective friction can be reduced to zero by appropriately tuned acoustic sources located on the boundary of the body. To illustrate the general idea, we consider three prototypical models describing the main types of strongly discrete defects: dislocations, cracks and domain walls. The obtained control protocols, ensuring dissipation-free mobility of topological defects, can be also used in the design of meta-material systems aimed at transmitting mechanical information."
988.0,2020.0,7,92,3,Transverse spin sum rule of the proton,arXiv:2008.04349,"The transversely-polarized state of a proton with arbitrary momentum is not an eigenstate of transverse angular momentum operator. The latter does not commute with the QCD Hamiltonian. However, the expectation value of the transverse angular momentum in the state is well-defined and grows proportionally to the energy of the particle. The transverse spin content of the proton is analyzed in terms of the QCD angular momentum structure. In particular, we reconfirm that the generalized parton distributions $H+E$ provide transverse orbital angular momentum densities of quarks and gluons in the infinite momentum frame."
1629.0,2022.0,8,85,12,Frustrations on decorated planar lattices in Ising model,arXiv:2206.09176,We study the frustration properties of the Ising model on several decorated lattices with arbitrary numbers of decorating spins on all bonds of the lattice within an exact analytical approach based on the Kramers--Wannier transfer-matrix technique. The existence of magnetic frustrations in such situations and their influence on the behavior of the thermodynamic functions of systems is shown. The most important result of our study is related to the description of the possible coexistence of frustrations and long-range magnetic order in partially ordered spin systems.
450.0,2019.0,13,77,1,Challenges in modelling the rest-frame ultraviolet/optical spectra of galaxies at the high-redshift frontier,arXiv:1903.12555,"New challenges in the modelling of galaxy spectra are bound to emerge as upcoming telescopes like the James Webb Space Telescope will allow us to detect galaxies at fainter flux levels and higher redshifts than ever before. Here, we highlight three modelling problems that may become relevant for upcoming observations in the rest-frame ultraviolet/optical at the high-redshift frontier: stellar initial mass function sampling effects, Population III signatures and the leakage of ionizing radiation into the intergalactic medium."
29.0,2018.0,2,102,1,Embedded Clusters,arXiv:1801.09940,"The past decade has seen an increase of star formation studies made at the molecular cloud scale, motivated mostly by the deployment of a wealth of sensitive infrared telescopes and instruments. Embedded clusters, long recognised as the basic units of coherent star formation in molecular clouds, are now seen to inhabit preferentially cluster complexes tens of parsecs across. This chapter gives an overview of some important properties of the embedded clusters in these complexes and of the complexes themselves, along with the implications of viewing star formation as a molecular-cloud scale process rather than an isolated process at the scale of clusters."
2.0,2018.0,4,83,4,Dirac quantum time mirror,arXiv:1603.07503,"Both metaphysical and practical considerations related to time inversion have intrigued scientists for generations. Physicists have strived to devise and implement time-inversion protocols, in particular different forms of ""time mirrors"" for classical waves. Here we propose an instantaneous time mirror for quantum systems, i.e., a controlled time discontinuity generating wave function echoes with high fidelities. This concept exploits coherent particle-hole oscillations in a Dirac spectrum in order to achieve population reversal, and can be implemented in systems such as (real or artificial) graphene."
592.0,2019.0,6,79,5,Tachyon inflation in the holographic braneworld,arXiv:1809.07216,A model of tachyon inflation is proposed in the framework of holographic cosmology. The model is based on a holographic braneworld scenario with a D3-brane located at the holographic boundary of an asymptotic ADS$_5$ bulk. The tachyon field that drives inflation is represented by a DBI action on the brane. We solve the evolution equations analytically in the slow-roll regime and solve the exact equations numerically. We calculate the inflation parameters and compare the results with Planck 2018 data.
1563.0,2022.0,8,79,4,Floquet engineering of excitons in semiconductor quantum dots,arXiv:2204.06409,"Within the Floquet theory of periodically driven quantum systems, we demonstrate that a high-frequency electromagnetic field can be used as an effective tool to control excitonic properties of semiconductor quantum dots (QDs). It is shown, particularly, that the field both decreases the exciton binding energy and dynamically stabilizes the exciton, increasing its radiative lifetime. The developed theory can serve as a basis for the ultrafast method to tune spectral characteristics of the QD-based photon emitters by a high-frequency field."
877.0,2020.0,7,90,2,GUP black hole remnants in quadratic gravity,arXiv:1909.05552,"The Hawking radiation of static, spherically symmetric, asymptotically flat solutions in quadratic gravity, is here explored. The emitted fermions are governed by the Dirac equation in the generalized uncertainty principle (GUP) context, that probes the spacetime (quantum) nature. The Hawking thermal spectrum is scrutinized out of the tunnelling method and the WKB procedure. The Hawking flux is shown to vanish for small black holes, for a precise combination of the GUP parameter and the coupling constants that drive the gravitational interaction in quadratic gravity, yielding absolutely stable black hole remnants."
